layout,S,H,D,head_start,heads_processed,trial,iterations,ns_per_call,max_abs_error,seed,cache_mode
DSH,128,1,128,0,1,9,2048,11833.0283203,4.95787844557e-06,0,repeated_buffer
DSH,128,8,64,4,1,0,4096,5307.65771484,1.38940352201e-06,0,repeated_buffer
SHD,128,8,64,4,1,0,8192,2461.6394043,1.3436449251e-06,0,repeated_buffer
HSD,128,8,64,4,1,0,8192,2451.29394531,1.3436449251e-06,0,repeated_buffer
SHD,128,8,64,4,1,1,8192,2459.19287109,1.3436449251e-06,0,repeated_buffer
DSH,128,8,64,4,1,1,4096,5299.46899414,1.38940352201e-06,0,repeated_buffer
HSD,128,8,64,4,1,1,8192,2452.96228027,1.3436449251e-06,0,repeated_buffer
DSH,128,8,64,4,1,2,4096,5301.26953125,1.38940352201e-06,0,repeated_buffer
HSD,128,8,64,4,1,2,8192,2466.25256348,1.3436449251e-06,0,repeated_buffer
SHD,128,8,64,4,1,2,8192,2459.09619141,1.3436449251e-06,0,repeated_buffer
SHD,128,8,64,4,1,3,8192,2464.10632324,1.3436449251e-06,0,repeated_buffer
DSH,128,8,64,4,1,3,4096,5279.75463867,1.38940352201e-06,0,repeated_buffer
HSD,128,8,64,4,1,3,8192,2450.32751465,1.3436449251e-06,0,repeated_buffer
SHD,128,8,64,4,1,4,8192,2461.92932129,1.3436449251e-06,0,repeated_buffer
HSD,128,8,64,4,1,4,8192,2448.70507812,1.3436449251e-06,0,repeated_buffer
DSH,128,8,64,4,1,4,4096,5303.16162109,1.38940352201e-06,0,repeated_buffer
SHD,128,8,64,4,1,5,8192,2458.34350586,1.3436449251e-06,0,repeated_buffer
DSH,128,8,64,4,1,5,4096,5439.453125,1.38940352201e-06,0,repeated_buffer
HSD,128,8,64,4,1,5,8192,2447.11804199,1.3436449251e-06,0,repeated_buffer
SHD,128,8,64,4,1,6,8192,2458.21643066,1.3436449251e-06,0,repeated_buffer
DSH,128,8,64,4,1,6,4096,5385.9152832,1.38940352201e-06,0,repeated_buffer
HSD,128,8,64,4,1,6,8192,2448.27270508,1.3436449251e-06,0,repeated_buffer
HSD,128,8,64,4,1,7,8192,2453.13513184,1.3436449251e-06,0,repeated_buffer
DSH,128,8,64,4,1,7,4096,5276.42822266,1.38940352201e-06,0,repeated_buffer
SHD,128,8,64,4,1,7,8192,2459.97106934,1.3436449251e-06,0,repeated_buffer
DSH,128,8,64,4,1,8,4096,5308.19702148,1.38940352201e-06,0,repeated_buffer
SHD,128,8,64,4,1,8,8192,2464.7064209,1.3436449251e-06,0,repeated_buffer
HSD,128,8,64,4,1,8,8192,2449.71203613,1.3436449251e-06,0,repeated_buffer
HSD,128,8,64,4,1,9,8192,2446.73657227,1.3436449251e-06,0,repeated_buffer
DSH,128,8,64,4,1,9,4096,5336.35449219,1.38940352201e-06,0,repeated_buffer
SHD,128,8,64,4,1,9,8192,2464.50805664,1.3436449251e-06,0,repeated_buffer
DSH,128,8,128,4,1,0,2048,14382.4262695,2.97697796725e-06,0,repeated_buffer
HSD,128,8,128,4,1,0,4096,6916.16821289,2.74665561051e-06,0,repeated_buffer
SHD,128,8,128,4,1,0,4096,6932.4543457,2.74665561051e-06,0,repeated_buffer
HSD,128,8,128,4,1,1,4096,6910.59375,2.74665561051e-06,0,repeated_buffer
DSH,128,8,128,4,1,1,2048,14532.3891602,2.97697796725e-06,0,repeated_buffer
SHD,128,8,128,4,1,1,4096,6935.48583984,2.74665561051e-06,0,repeated_buffer
