layout,S,H,D,head_start,heads_processed,trial,iterations,ns_per_call,max_abs_error,seed,cache_mode
DSH,128,1,128,0,1,9,2048,11833.1704102,4.95787844557e-06,0,repeated_buffer
SHD,128,32,64,16,1,0,8192,4609.73608398,1.11687002402e-06,0,repeated_buffer
HSD,128,32,64,16,1,0,8192,4527.61328125,1.11687002402e-06,0,repeated_buffer
DSH,128,32,64,16,1,0,4096,6199.99194336,1.11687002402e-06,0,repeated_buffer
DSH,128,32,64,16,1,1,4096,6015.99121094,1.11687002402e-06,0,repeated_buffer
HSD,128,32,64,16,1,1,8192,4546.97668457,1.11687002402e-06,0,repeated_buffer
SHD,128,32,64,16,1,1,8192,4611.2010498,1.11687002402e-06,0,repeated_buffer
HSD,128,32,64,16,1,2,8192,4521.30639648,1.11687002402e-06,0,repeated_buffer
SHD,128,32,64,16,1,2,8192,4533.87963867,1.11687002402e-06,0,repeated_buffer
DSH,128,32,64,16,1,2,4096,6017.76123047,1.11687002402e-06,0,repeated_buffer
DSH,128,32,64,16,1,3,4096,6020.00952148,1.11687002402e-06,0,repeated_buffer
HSD,128,32,64,16,1,3,8192,4548.06018066,1.11687002402e-06,0,repeated_buffer
SHD,128,32,64,16,1,3,8192,4559.37695312,1.11687002402e-06,0,repeated_buffer
HSD,128,32,64,16,1,4,8192,4484.75646973,1.11687002402e-06,0,repeated_buffer
SHD,128,32,64,16,1,4,8192,4650.73132324,1.11687002402e-06,0,repeated_buffer
DSH,128,32,64,16,1,4,4096,6018.48339844,1.11687002402e-06,0,repeated_buffer
DSH,128,32,64,16,1,5,4096,6025.68579102,1.11687002402e-06,0,repeated_buffer
HSD,128,32,64,16,1,5,8192,4527.56237793,1.11687002402e-06,0,repeated_buffer
SHD,128,32,64,16,1,5,8192,4614.35949707,1.11687002402e-06,0,repeated_buffer
HSD,128,32,64,16,1,6,8192,4518.46826172,1.11687002402e-06,0,repeated_buffer
SHD,128,32,64,16,1,6,8192,4560.23657227,1.11687002402e-06,0,repeated_buffer
DSH,128,32,64,16,1,6,4096,6024.03759766,1.11687002402e-06,0,repeated_buffer
DSH,128,32,64,16,1,7,4096,6030.51757812,1.11687002402e-06,0,repeated_buffer
SHD,128,32,64,16,1,7,8192,4581.73120117,1.11687002402e-06,0,repeated_buffer
HSD,128,32,64,16,1,7,8192,4558.13098145,1.11687002402e-06,0,repeated_buffer
HSD,128,32,64,16,1,8,8192,4525.32458496,1.11687002402e-06,0,repeated_buffer
SHD,128,32,64,16,1,8,8192,4530.45654297,1.11687002402e-06,0,repeated_buffer
DSH,128,32,64,16,1,8,4096,7408.32519531,1.11687002402e-06,0,repeated_buffer
HSD,128,32,64,16,1,9,8192,4484.65478516,1.11687002402e-06,0,repeated_buffer
SHD,128,32,64,16,1,9,8192,4547.56164551,1.11687002402e-06,0,repeated_buffer
DSH,128,32,64,16,1,9,4096,6014.13964844,1.11687002402e-06,0,repeated_buffer
DSH,128,32,128,16,1,0,2048,13734.4765625,2.61721359607e-06,0,repeated_buffer
SHD,128,32,128,16,1,0,2048,12158.5693359,2.61721359607e-06,0,repeated_buffer
HSD,128,32,128,16,1,0,2048,11857.8491211,2.61721359607e-06,0,repeated_buffer
SHD,128,32,128,16,1,1,2048,12147.5830078,2.61721359607e-06,0,repeated_buffer
DSH,128,32,128,16,1,1,2048,13903.4624023,2.61721359607e-06,0,repeated_buffer
HSD,128,32,128,16,1,1,2048,11858.8256836,2.61721359607e-06,0,repeated_buffer
SHD,128,32,128,16,1,2,2048,12146.8300781,2.61721359607e-06,0,repeated_buffer
HSD,128,32,128,16,1,2,2048,11828.715332,2.61721359607e-06,0,repeated_buffer
DSH,128,32,128,16,1,2,2048,13799.5810547,2.61721359607e-06,0,repeated_buffer
HSD,128,32,128,16,1,3,2048,11820.2719727,2.61721359607e-06,0,repeated_buffer
DSH,128,32,128,16,1,3,2048,13655.3139648,2.61721359607e-06,0,repeated_buffer
SHD,128,32,128,16,1,3,2048,12081.7670898,2.61721359607e-06,0,repeated_buffer
HSD,128,32,128,16,1,4,2048,11846.2524414,2.61721359607e-06,0,repeated_buffer
DSH,128,32,128,16,1,4,2048,13662.0893555,2.61721359607e-06,0,repeated_buffer
SHD,128,32,128,16,1,4,2048,12077.3515625,2.61721359607e-06,0,repeated_buffer
SHD,128,32,128,16,1,5,2048,12189.168457,2.61721359607e-06,0,repeated_buffer
DSH,128,32,128,16,1,5,2048,14004.1298828,2.61721359607e-06,0,repeated_buffer
HSD,128,32,128,16,1,5,2048,11825.3984375,2.61721359607e-06,0,repeated_buffer
DSH,128,32,128,16,1,6,2048,13760.2133789,2.61721359607e-06,0,repeated_buffer
HSD,128,32,128,16,1,6,2048,11824.0356445,2.61721359607e-06,0,repeated_buffer
SHD,128,32,128,16,1,6,2048,12062.296875,2.61721359607e-06,0,repeated_buffer
SHD,128,32,128,16,1,7,2048,12068.4204102,2.61721359607e-06,0,repeated_buffer
HSD,128,32,128,16,1,7,2048,11968.8110352,2.61721359607e-06,0,repeated_buffer
DSH,128,32,128,16,1,7,2048,13673.8891602,2.61721359607e-06,0,repeated_buffer
DSH,128,32,128,16,1,8,2048,14018.1884766,2.61721359607e-06,0,repeated_buffer
SHD,128,32,128,16,1,8,2048,12147.6235352,2.61721359607e-06,0,repeated_buffer
HSD,128,32,128,16,1,8,2048,11837.3208008,2.61721359607e-06,0,repeated_buffer
SHD,128,32,128,16,1,9,2048,12082.2958984,2.61721359607e-06,0,repeated_buffer
HSD,128,32,128,16,1,9,2048,11830.7089844,2.61721359607e-06,0,repeated_buffer
DSH,128,32,128,16,1,9,2048,13651.3061523,2.61721359607e-06,0,repeated_buffer
DSH,8192,1,64,0,1,0,32,685128.90625,2.52438836412e-06,0,repeated_buffer
HSD,8192,1,64,0,1,0,128,289561.851562,2.52438836412e-06,0,repeated_buffer
SHD,8192,1,64,0,1,0,128,284877.929688,2.52438836412e-06,0,repeated_buffer
HSD,8192,1,64,0,1,1,128,298777.992188,2.52438836412e-06,0,repeated_buffer
DSH,8192,1,64,0,1,1,32,683126.3125,2.52438836412e-06,0,repeated_buffer
SHD,8192,1,64,0,1,1,128,291910.484375,2.52438836412e-06,0,repeated_buffer
DSH,8192,1,64,0,1,2,32,683809.90625,2.52438836412e-06,0,repeated_buffer
HSD,8192,1,64,0,1,2,128,290285.15625,2.52438836412e-06,0,repeated_buffer
SHD,8192,1,64,0,1,2,128,287136.390625,2.52438836412e-06,0,repeated_buffer
SHD,8192,1,64,0,1,3,128,287269.859375,2.52438836412e-06,0,repeated_buffer
HSD,8192,1,64,0,1,3,128,291027.992188,2.52438836412e-06,0,repeated_buffer
DSH,8192,1,64,0,1,3,32,686804.6875,2.52438836412e-06,0,repeated_buffer
DSH,8192,1,64,0,1,4,32,684247.40625,2.52438836412e-06,0,repeated_buffer
SHD,8192,1,64,0,1,4,128,287889.976562,2.52438836412e-06,0,repeated_buffer
HSD,8192,1,64,0,1,4,128,292418.289062,2.52438836412e-06,0,repeated_buffer
DSH,8192,1,64,0,1,5,32,668759.125,2.52438836412e-06,0,repeated_buffer
SHD,8192,1,64,0,1,5,128,290398.765625,2.52438836412e-06,0,repeated_buffer
HSD,8192,1,64,0,1,5,128,284584.640625,2.52438836412e-06,0,repeated_buffer
SHD,8192,1,64,0,1,6,128,290234.046875,2.52438836412e-06,0,repeated_buffer
HSD,8192,1,64,0,1,6,128,284465.164062,2.52438836412e-06,0,repeated_buffer
DSH,8192,1,64,0,1,6,32,681540.375,2.52438836412e-06,0,repeated_buffer
SHD,8192,1,64,0,1,7,128,288814.453125,2.52438836412e-06,0,repeated_buffer
HSD,8192,1,64,0,1,7,128,291351.5625,2.52438836412e-06,0,repeated_buffer
DSH,8192,1,64,0,1,7,32,682197.90625,2.52438836412e-06,0,repeated_buffer
HSD,8192,1,64,0,1,8,128,284636.71875,2.52438836412e-06,0,repeated_buffer
SHD,8192,1,64,0,1,8,128,285282.875,2.52438836412e-06,0,repeated_buffer
DSH,8192,1,64,0,1,8,32,681787.75,2.52438836412e-06,0,repeated_buffer
SHD,8192,1,64,0,1,9,128,286750.976562,2.52438836412e-06,0,repeated_buffer
HSD,8192,1,64,0,1,9,128,284614.90625,2.52438836412e-06,0,repeated_buffer
DSH,8192,1,64,0,1,9,32,680901.03125,2.52438836412e-06,0,repeated_buffer
DSH,8192,1,128,0,1,0,16,1259841.1875,5.98322731094e-06,0,repeated_buffer
HSD,8192,1,128,0,1,0,32,758203.125,5.98322731094e-06,0,repeated_buffer
SHD,8192,1,128,0,1,0,32,757576.84375,5.98322731094e-06,0,repeated_buffer
HSD,8192,1,128,0,1,1,32,756821.625,5.98322731094e-06,0,repeated_buffer
DSH,8192,1,128,0,1,1,16,1258919.25,5.98322731094e-06,0,repeated_buffer
SHD,8192,1,128,0,1,1,32,757958.34375,5.98322731094e-06,0,repeated_buffer
DSH,8192,1,128,0,1,2,16,1259171.875,5.98322731094e-06,0,repeated_buffer
SHD,8192,1,128,0,1,2,32,765570.3125,5.98322731094e-06,0,repeated_buffer
HSD,8192,1,128,0,1,2,32,757911.46875,5.98322731094e-06,0,repeated_buffer
HSD,8192,1,128,0,1,3,32,758380.21875,5.98322731094e-06,0,repeated_buffer
DSH,8192,1,128,0,1,3,16,1258658.875,5.98322731094e-06,0,repeated_buffer
SHD,8192,1,128,0,1,3,32,757927.09375,5.98322731094e-06,0,repeated_buffer
HSD,8192,1,128,0,1,4,32,757915.375,5.98322731094e-06,0,repeated_buffer
DSH,8192,1,128,0,1,4,16,1260252.625,5.98322731094e-06,0,repeated_buffer
SHD,8192,1,128,0,1,4,32,756566.40625,5.98322731094e-06,0,repeated_buffer
HSD,8192,1,128,0,1,5,32,756835.9375,5.98322731094e-06,0,repeated_buffer
DSH,8192,1,128,0,1,5,16,1259994.8125,5.98322731094e-06,0,repeated_buffer
SHD,8192,1,128,0,1,5,32,768138.03125,5.98322731094e-06,0,repeated_buffer
DSH,8192,1,128,0,1,6,16,1314203.125,5.98322731094e-06,0,repeated_buffer
SHD,8192,1,128,0,1,6,32,756787.75,5.98322731094e-06,0,repeated_buffer
HSD,8192,1,128,0,1,6,32,765864.59375,5.98322731094e-06,0,repeated_buffer
HSD,8192,1,128,0,1,7,32,757178.375,5.98322731094e-06,0,repeated_buffer
DSH,8192,1,128,0,1,7,16,1258862,5.98322731094e-06,0,repeated_buffer
SHD,8192,1,128,0,1,7,32,757911.4375,5.98322731094e-06,0,repeated_buffer
HSD,8192,1,128,0,1,8,32,1278125,5.98322731094e-06,0,repeated_buffer
DSH,8192,1,128,0,1,8,16,1257565.125,5.98322731094e-06,0,repeated_buffer
SHD,8192,1,128,0,1,8,32,758774.71875,5.98322731094e-06,0,repeated_buffer
SHD,8192,1,128,0,1,9,32,758291.65625,5.98322731094e-06,0,repeated_buffer
DSH,8192,1,128,0,1,9,16,1259046.875,5.98322731094e-06,0,repeated_buffer
HSD,8192,1,128,0,1,9,32,757584.625,5.98322731094e-06,0,repeated_buffer
HSD,8192,32,64,16,1,0,128,289061.523438,2.20415346064e-06,0,repeated_buffer
SHD,8192,32,64,16,1,0,128,296668.296875,2.20415346064e-06,0,repeated_buffer
DSH,8192,32,64,16,1,0,16,2101888,2.20415346064e-06,0,repeated_buffer
SHD,8192,32,64,16,1,1,128,288981.445312,2.20415346064e-06,0,repeated_buffer
DSH,8192,32,64,16,1,1,16,2102942.6875,2.20415346064e-06,0,repeated_buffer
HSD,8192,32,64,16,1,1,128,291546.875,2.20415346064e-06,0,repeated_buffer
SHD,8192,32,64,16,1,2,128,297856.765625,2.20415346064e-06,0,repeated_buffer
HSD,8192,32,64,16,1,2,128,290304.039062,2.20415346064e-06,0,repeated_buffer
DSH,8192,32,64,16,1,2,16,2119882.8125,2.20415346064e-06,0,repeated_buffer
DSH,8192,32,64,16,1,3,16,2102218.75,2.20415346064e-06,0,repeated_buffer
HSD,8192,32,64,16,1,3,128,288852.859375,2.20415346064e-06,0,repeated_buffer
SHD,8192,32,64,16,1,3,128,299513.34375,2.20415346064e-06,0,repeated_buffer
DSH,8192,32,64,16,1,4,16,2105309.9375,2.20415346064e-06,0,repeated_buffer
SHD,8192,32,64,16,1,4,128,294793.945312,2.20415346064e-06,0,repeated_buffer
HSD,8192,32,64,16,1,4,128,288270.179688,2.20415346064e-06,0,repeated_buffer
HSD,8192,32,64,16,1,5,128,294223.960938,2.20415346064e-06,0,repeated_buffer
SHD,8192,32,64,16,1,5,128,294157.875,2.20415346064e-06,0,repeated_buffer
DSH,8192,32,64,16,1,5,16,2104489.5625,2.20415346064e-06,0,repeated_buffer
HSD,8192,32,64,16,1,6,128,288714.84375,2.20415346064e-06,0,repeated_buffer
DSH,8192,32,64,16,1,6,16,2324562.5,2.20415346064e-06,0,repeated_buffer
SHD,8192,32,64,16,1,6,128,297909.828125,2.20415346064e-06,0,repeated_buffer
DSH,8192,32,64,16,1,7,16,2114393.1875,2.20415346064e-06,0,repeated_buffer
SHD,8192,32,64,16,1,7,128,288888.34375,2.20415346064e-06,0,repeated_buffer
HSD,8192,32,64,16,1,7,128,289346.023438,2.20415346064e-06,0,repeated_buffer
SHD,8192,32,64,16,1,8,128,297756.507812,2.20415346064e-06,0,repeated_buffer
HSD,8192,32,64,16,1,8,128,286932.617188,2.20415346064e-06,0,repeated_buffer
DSH,8192,32,64,16,1,8,16,2132442.75,2.20415346064e-06,0,repeated_buffer
SHD,8192,32,64,16,1,9,128,293859.703125,2.20415346064e-06,0,repeated_buffer
DSH,8192,32,64,16,1,9,16,2101289.0625,2.20415346064e-06,0,repeated_buffer
