layout,S,H,D,head_start,heads_processed,trial,iterations,ns_per_call,max_abs_error,seed,cache_mode
DSH,128,1,128,0,1,9,2048,11806.8032227,4.95787844557e-06,0,repeated_buffer
SHD,128,32,64,16,1,0,8192,2567.66760254,1.08839121538e-06,0,repeated_buffer
HSD,128,32,64,16,1,0,8192,2450.64294434,1.08839121538e-06,0,repeated_buffer
DSH,128,32,64,16,1,0,4096,6134.27734375,1.11687002402e-06,0,repeated_buffer
DSH,128,32,64,16,1,1,4096,6215.16918945,1.11687002402e-06,0,repeated_buffer
HSD,128,32,64,16,1,1,8192,2454.14221191,1.08839121538e-06,0,repeated_buffer
SHD,128,32,64,16,1,1,8192,2602.09143066,1.08839121538e-06,0,repeated_buffer
HSD,128,32,64,16,1,2,8192,2450.7598877,1.08839121538e-06,0,repeated_buffer
SHD,128,32,64,16,1,2,8192,2573.90856934,1.08839121538e-06,0,repeated_buffer
DSH,128,32,64,16,1,2,4096,6014.6484375,1.11687002402e-06,0,repeated_buffer
DSH,128,32,64,16,1,3,4096,6011.67797852,1.11687002402e-06,0,repeated_buffer
HSD,128,32,64,16,1,3,8192,2448.16589355,1.08839121538e-06,0,repeated_buffer
SHD,128,32,64,16,1,3,8192,2570.8770752,1.08839121538e-06,0,repeated_buffer
HSD,128,32,64,16,1,4,8192,2467.19873047,1.08839121538e-06,0,repeated_buffer
SHD,128,32,64,16,1,4,8192,2603.14440918,1.08839121538e-06,0,repeated_buffer
DSH,128,32,64,16,1,4,4096,6214.04003906,1.11687002402e-06,0,repeated_buffer
DSH,128,32,64,16,1,5,4096,6223.99902344,1.11687002402e-06,0,repeated_buffer
HSD,128,32,64,16,1,5,8192,2447.39282227,1.08839121538e-06,0,repeated_buffer
SHD,128,32,64,16,1,5,8192,2602.92053223,1.08839121538e-06,0,repeated_buffer
HSD,128,32,64,16,1,6,8192,2454.44238281,1.08839121538e-06,0,repeated_buffer
SHD,128,32,64,16,1,6,8192,2601.35913086,1.08839121538e-06,0,repeated_buffer
DSH,128,32,64,16,1,6,4096,6211.66992188,1.11687002402e-06,0,repeated_buffer
DSH,128,32,64,16,1,7,4096,6206.2175293,1.11687002402e-06,0,repeated_buffer
