run,S,H,D,head_start,heads_processed,layout,samples,median_us,q1_us,q3_us,time_over_hsd
Run3,8192,32,128,16,1,SHD,10,686.9049453125,640.14534765625,731.6114921875,1.5476698498012462
Run3,32768,1,64,0,1,DSH,10,2016.4518125,1996.405609375,2026.182296875,3.1609150334865723
Run3,32768,1,64,0,1,HSD,10,637.9329375,636.904296875,641.2015078125,1.0
Run3,32768,1,64,0,1,SHD,10,635.93815625,633.8893359375,640.258140625,0.9968730549361233
Run3,32768,1,128,0,1,DSH,10,4272.3125,4219.2630625,4297.5195625,2.381220403586151
Run3,32768,1,128,0,1,HSD,10,1794.16928125,1785.636046875,1803.294921875,1.0
Run3,32768,1,128,0,1,SHD,10,1808.9674375,1797.883453125,1812.665328125,1.0082479152912984
Run3,32768,8,64,4,1,DSH,10,5548.494875,5538.9713125,5553.6275625,8.668456192477478
Run3,32768,8,64,4,1,HSD,10,640.07878125,637.239578125,643.681640625,1.0
Run3,32768,8,64,4,1,SHD,10,692.268875,690.4095234375,694.7620234375,1.081536984631921
Run3,32768,8,128,4,1,DSH,10,15938.30225,15865.01025,15955.567875,8.817058275038368
Run3,32768,8,128,4,1,HSD,10,1807.66665625,1788.25259375,1811.0331875,1.0
Run3,32768,8,128,4,1,SHD,10,2360.9856875,2353.05275,2382.0130468750003,1.3060957225365095
Run3,32768,32,64,16,1,DSH,10,8803.75525,8671.260437500001,8859.843875,13.657614446384938
Run3,32768,32,64,16,1,HSD,10,644.604171875,641.20084375,646.8951875,1.0
Run3,32768,32,64,16,1,SHD,10,691.21940625,686.355140625,692.1888125,1.0723160606289708
Run3,32768,32,128,16,1,DSH,10,17888.604,17861.385625000003,17933.119875,9.89679062427208
Run3,32768,32,128,16,1,HSD,10,1807.5156562500001,1802.750671875,1810.648453125,1.0
Run3,32768,32,128,16,1,SHD,10,4622.2708125,4583.63025,4668.82678125,2.557250774850653
